PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123.0,7.65,S
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738.0,29.0,S
80,1,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516.0,12.475,S
81,0,3,"Waelens, Mr. Achille",male,22.0,0,0,345767.0,9.0,S
84,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059.0,47.1,S
85,1,2,"Ilett, Miss. Bertha",female,17.0,0,0,,10.5,S
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278.0,15.85,S
87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,,34.375,S
89,1,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950.0,263.0,S
90,0,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275.0,8.05,S
91,0,3,"Christmann, Mr. Emil",male,29.0,0,0,343276.0,8.05,S
92,0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466.0,7.8542,S
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,,61.175,S
94,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,,20.575,S
95,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500.0,7.25,S
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919.0,23.0,S
100,0,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367.0,26.0,S
101,0,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245.0,7.8958,S
104,0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540.0,8.6542,S
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276.0,7.925,S
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,343120.0,7.65,S
111,0,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465.0,52.0,S
113,0,3,"Barton, Mr. David John",male,22.0,0,0,324669.0,8.05,S
115,0,3,"Attalah, Miss. Malake",female,17.0,0,0,2627.0,14.4583,C
116,0,3,"Pekoniemi, Mr. Edvard",male,21.0,0,0,,7.925,S
119,0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,,247.5208,C
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,347082.0,31.275,S
121,0,2,"Hickman, Mr. Stanley George",male,21.0,2,0,,73.5,S
123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736.0,30.0708,C
124,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267.0,13.0,S
131,0,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241.0,7.8958,C
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414.0,26.0,S
137,1,1,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,11752.0,26.2833,S
138,0,1,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803.0,53.1,S
139,0,3,"Osen, Mr. Olaf Elon",male,16.0,0,0,7534.0,9.2167,S
140,0,1,"Giglio, Mr. Victor",male,24.0,0,0,,79.2,C
142,1,3,"Nysten, Miss. Anna Sofia",female,22.0,0,0,347081.0,7.75,S
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,,15.85,S
145,0,2,"Andrew, Mr. Edgardo Samuel",male,18.0,0,0,231945.0,11.5,S
146,0,2,"Nicholls, Mr. Joseph Charles",male,19.0,1,1,,36.75,S
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,350043.0,7.7958,S
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2,2,,34.375,S
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080.0,26.0,S
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42.0,0,0,244310.0,13.0,S
151,0,2,"Bateman, Rev. Robert James",male,51.0,0,0,,12.525,S
153,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,,8.05,S
154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,,14.5,S
156,0,1,"Williams, Mr. Charles Duane",male,51.0,0,1,,61.3792,C
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0,0,35851.0,7.7333,Q
158,0,3,"Corn, Mr. Harry",male,30.0,0,0,,8.05,S
161,0,3,"Cribb, Mr. John Hatfield",male,44.0,0,1,371362.0,16.1,S
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0,0,,15.75,S
163,0,3,"Bengtsson, Mr. John Viktor",male,26.0,0,0,347068.0,7.775,S
164,0,3,"Calic, Mr. Jovo",male,17.0,0,0,315093.0,8.6625,S
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0,2,363291.0,20.525,S
170,0,3,"Ling, Mr. Lee",male,28.0,0,0,1601.0,56.4958,S
171,0,1,"Van der hoef, Mr. Wyckoff",male,61.0,0,0,111240.0,33.5,S
173,1,3,"Johnson, Miss. Eleanor Ileen",female,1.0,1,1,347742.0,11.1333,S
174,0,3,"Sivola, Mr. Antti Wilhelm",male,21.0,0,0,,7.925,S
175,0,1,"Smith, Mr. James Clinch",male,56.0,0,0,17764.0,30.6958,C
176,0,3,"Klasen, Mr. Klas Albin",male,18.0,1,1,350404.0,7.8542,S
178,0,1,"Isham, Miss. Ann Elizabeth",female,50.0,0,0,,28.7125,C
180,0,3,"Leonard, Mr. Lionel",male,36.0,0,0,,0.0,S
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,4,2,347077.0,31.3875,S
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0,2,315153.0,22.025,S
189,0,3,"Bourke, Mr. John",male,40.0,1,1,364849.0,15.5,Q
190,0,3,"Turcin, Mr. Stjepan",male,36.0,0,0,349247.0,7.8958,S
191,1,2,"Pinsky, Mrs. (Rosa)",female,32.0,0,0,234604.0,13.0,S
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1,0,350046.0,7.8542,S
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,,27.7208,C
196,1,1,"Lurette, Miss. Elise",female,58.0,0,0,,146.5208,C
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0,1,4579.0,8.4042,S
201,0,3,"Vande Walle, Mr. Nestor Cyriel",male,28.0,0,0,345770.0,9.5,S
203,0,3,"Johanson, Mr. Jakob Alfred",male,34.0,0,0,3101264.0,6.4958,S
204,0,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628.0,7.225,C
206,0,3,"Strom, Miss. Telma Matilda",female,2.0,0,1,347054.0,10.4625,S
207,0,3,"Backstrom, Mr. Karl Alfred",male,32.0,1,0,3101278.0,15.85,S
209,1,3,"Carr, Miss. Helen ""Ellen""",female,16.0,0,0,367231.0,7.75,Q
211,0,3,"Ali, Mr. Ahmed",male,24.0,0,0,,7.05,S
212,1,2,"Cameron, Miss. Clear Annie",female,35.0,0,0,,21.0,S
214,0,2,"Givard, Mr. Hans Kristensen",male,30.0,0,0,250646.0,13.0,S
217,1,3,"Honkanen, Miss. Eliina",female,27.0,0,0,,7.925,S
218,0,2,"Jacobsohn, Mr. Sidney Samuel",male,42.0,1,0,243847.0,27.0,S
221,1,3,"Sunderland, Mr. Victor Francis",male,16.0,0,0,,8.05,S
223,0,3,"Green, Mr. George Henry",male,51.0,0,0,21440.0,8.05,S
225,1,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,1,0,19943.0,90.0,S
226,0,3,"Berglund, Mr. Karl Ivar Sven",male,22.0,0,0,,9.35,S
227,1,2,"Mellors, Mr. William John",male,19.0,0,0,,10.5,S
228,0,3,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0,,7.25,S
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,1,0,36973.0,83.475,S
232,0,3,"Larsson, Mr. Bengt Edvin",male,29.0,0,0,347067.0,7.775,S
233,0,2,"Sjostedt, Mr. Ernst Adolf",male,59.0,0,0,237442.0,13.5,S
234,1,3,"Asplund, Miss. Lillian Gertrud",female,5.0,4,2,347077.0,31.3875,S
235,0,2,"Leyson, Mr. Robert William Norman",male,24.0,0,0,,10.5,S
237,0,2,"Hold, Mr. Stephen",male,44.0,1,0,26707.0,26.0,S
238,1,2,"Collyer, Miss. Marjorie ""Lottie""",female,8.0,0,2,,26.25,S
244,0,3,"Maenpaa, Mr. Matti Alexanteri",male,22.0,0,0,,7.125,S
245,0,3,"Attalah, Mr. Sleiman",male,30.0,0,0,2694.0,7.225,C
246,0,1,"Minahan, Dr. William Edward",male,44.0,2,0,19928.0,90.0,Q
247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25.0,0,0,347071.0,7.775,S
248,1,2,"Hamalainen, Mrs. William (Anna)",female,24.0,0,2,250649.0,14.5,S
253,0,1,"Stead, Mr. William Thomas",male,62.0,0,0,113514.0,26.55,S
254,0,3,"Lobb, Mr. William Arthur",male,30.0,1,0,,16.1,S
256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29.0,0,2,2650.0,15.2458,C
258,1,1,"Cherry, Miss. Gladys",female,30.0,0,0,110152.0,86.5,S
259,1,1,"Ward, Miss. Anna",female,35.0,0,0,,512.3292,C
260,1,2,"Parrish, Mrs. (Lutie Davis)",female,50.0,0,1,230433.0,26.0,S
263,0,1,"Taussig, Mr. Emil",male,52.0,1,1,110413.0,79.65,S
264,0,1,"Harrison, Mr. William",male,40.0,0,0,112059.0,0.0,S
266,0,2,"Reeves, Mr. David",male,36.0,0,0,,10.5,S
267,0,3,"Panula, Mr. Ernesti Arvid",male,16.0,4,1,3101295.0,39.6875,S
269,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,0,1,,153.4625,S
273,1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41.0,0,1,250644.0,19.5,S
274,0,1,"Natsch, Mr. Charles H",male,37.0,0,1,,29.7,C
276,1,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,1,0,13502.0,77.9583,S
277,0,3,"Lindblom, Miss. Augusta Charlotta",female,45.0,0,0,347073.0,7.75,S
280,1,3,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35.0,1,1,,20.25,S
281,0,3,"Duane, Mr. Frank",male,65.0,0,0,336439.0,7.75,Q
282,0,3,"Olsson, Mr. Nils Johan Goransson",male,28.0,0,0,347464.0,7.8542,S
284,1,3,"Dorking, Mr. Edward Arthur",male,19.0,0,0,,8.05,S
286,0,3,"Stankovic, Mr. Ivan",male,33.0,0,0,349239.0,8.6625,C
287,1,3,"de Mulder, Mr. Theodore",male,30.0,0,0,345774.0,9.5,S
288,0,3,"Naidenoff, Mr. Penko",male,22.0,0,0,349206.0,7.8958,S
291,1,1,"Barber, Miss. Ellen ""Nellie""",female,26.0,0,0,19877.0,78.85,S
292,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,1,0,11967.0,91.0792,C
293,0,2,"Levy, Mr. Rene Jacques",male,36.0,0,0,,12.875,C
294,0,3,"Haas, Miss. Aloisia",female,24.0,0,0,349236.0,8.85,S
295,0,3,"Mineff, Mr. Ivan",male,24.0,0,0,349233.0,7.8958,S
297,0,3,"Hanna, Mr. Mansour",male,23.5,0,0,2693.0,7.2292,C
298,0,1,"Allison, Miss. Helen Loraine",female,2.0,1,2,113781.0,151.55,S
300,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,0,1,,247.5208,C
303,0,3,"Johnson, Mr. William Cahoone Jr",male,19.0,0,0,,0.0,S
309,0,2,"Abelson, Mr. Samuel",male,30.0,1,0,,24.0,C
311,1,1,"Hays, Miss. Margaret Bechstein",female,24.0,0,0,11767.0,83.1583,C
312,1,1,"Ryerson, Miss. Emily Borie",female,18.0,2,2,,262.375,C
313,0,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,26.0,1,1,250651.0,26.0,S
315,0,2,"Hart, Mr. Benjamin",male,43.0,1,1,,26.25,S
316,1,3,"Nilsson, Miss. Helmina Josefina",female,26.0,0,0,347470.0,7.8542,S
317,1,2,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24.0,1,0,244367.0,26.0,S
318,0,2,"Moraweck, Dr. Ernest",male,54.0,0,0,29011.0,14.0,S
320,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.0,1,1,16966.0,134.5,C
321,0,3,"Dennis, Mr. Samuel",male,22.0,0,0,,7.25,S
322,0,3,"Danoff, Mr. Yoto",male,27.0,0,0,349219.0,7.8958,S
323,1,2,"Slayter, Miss. Hilda Mary",female,30.0,0,0,234818.0,12.35,Q
326,1,1,"Young, Miss. Marie Grice",female,36.0,0,0,,135.6333,C
328,1,2,"Ball, Mrs. (Ada E Hall)",female,36.0,0,0,28551.0,13.0,S
330,1,1,"Hippach, Miss. Jean Gertrude",female,16.0,0,1,111361.0,57.9792,C
332,0,1,"Partner, Mr. Austen",male,45.5,0,0,113043.0,28.5,S
334,0,3,"Vander Planke, Mr. Leo Edmondus",male,16.0,2,0,345764.0,18.0,S
338,1,1,"Burns, Miss. Elizabeth Margaret",female,41.0,0,0,16966.0,134.5,C
339,1,3,"Dahl, Mr. Karl Edwart",male,45.0,0,0,7598.0,8.05,S
340,0,1,"Blackwell, Mr. Stephen Weart",male,45.0,0,0,113784.0,35.5,S
341,1,2,"Navratil, Master. Edmond Roger",male,2.0,1,1,230080.0,26.0,S
342,1,1,"Fortune, Miss. Alice Elizabeth",female,24.0,3,2,19950.0,263.0,S
344,0,2,"Sedgwick, Mr. Charles Frederick Waddington",male,25.0,0,0,244361.0,13.0,S
347,1,2,"Smith, Miss. Marion Elsie",female,40.0,0,0,31418.0,13.0,S
350,0,3,"Dimic, Mr. Jovan",male,42.0,0,0,315088.0,8.6625,S
351,0,3,"Odahl, Mr. Nils Martin",male,23.0,0,0,7267.0,9.225,S
353,0,3,"Elias, Mr. Tannous",male,15.0,1,1,2695.0,7.2292,C
354,0,3,"Arnold-Franchi, Mr. Josef",male,25.0,1,0,349237.0,17.8,S
356,0,3,"Vanden Steen, Mr. Leo Peter",male,28.0,0,0,345783.0,9.5,S
358,0,2,"Funk, Miss. Annie Clemmer",female,38.0,0,0,237671.0,13.0,S
361,0,3,"Skoog, Mr. Wilhelm",male,40.0,1,4,347088.0,27.9,S
362,0,2,"del Carlo, Mr. Sebastiano",male,29.0,1,0,,27.7208,C
363,0,3,"Barbara, Mrs. (Catherine David)",female,45.0,0,1,2691.0,14.4542,C
366,0,3,"Adahl, Mr. Mauritz Nils Martin",male,30.0,0,0,,7.25,S
367,1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60.0,1,0,110813.0,75.25,C
370,1,1,"Aubart, Mme. Leontine Pauline",female,24.0,0,0,,69.3,C
373,0,3,"Beavan, Mr. William Thomas",male,19.0,0,0,323951.0,8.05,S
374,0,1,"Ringhini, Mr. Sante",male,22.0,0,0,,135.6333,C
375,0,3,"Palsson, Miss. Stina Viola",female,3.0,3,1,349909.0,21.075,S
377,1,3,"Landergren, Miss. Aurora Adelia",female,22.0,0,0,,7.25,S
378,0,1,"Widener, Mr. Harry Elkins",male,27.0,0,2,113503.0,211.5,C
379,0,3,"Betros, Mr. Tannous",male,20.0,0,0,2648.0,4.0125,C
380,0,3,"Gustafsson, Mr. Karl Gideon",male,19.0,0,0,347069.0,7.775,S
381,1,1,"Bidois, Miss. Rosalie",female,42.0,0,0,,227.525,C
382,1,3,"Nakid, Miss. Maria (""Mary"")",female,1.0,0,2,2653.0,15.7417,C
383,0,3,"Tikkanen, Mr. Juho",male,32.0,0,0,,7.925,S
386,0,2,"Davies, Mr. Charles Henry",male,18.0,0,0,,73.5,S
387,0,3,"Goodwin, Master. Sidney Leonard",male,1.0,5,2,,46.9,S
390,1,2,"Lehmann, Miss. Bertha",female,17.0,0,0,,12.0,C
391,1,1,"Carter, Mr. William Ernest",male,36.0,1,2,113760.0,120.0,S
392,1,3,"Jansson, Mr. Carl Olof",male,21.0,0,0,350034.0,7.7958,S
393,0,3,"Gustafsson, Mr. Johan Birger",male,28.0,2,0,3101277.0,7.925,S
395,1,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24.0,0,2,,16.7,S
396,0,3,"Johansson, Mr. Erik",male,22.0,0,0,350052.0,7.7958,S
397,0,3,"Olsson, Miss. Elina",female,31.0,0,0,350407.0,7.8542,S
398,0,2,"McKane, Mr. Peter David",male,46.0,0,0,28403.0,26.0,S
400,1,2,"Trout, Mrs. William H (Jessie L)",female,28.0,0,0,240929.0,12.65,S
401,1,3,"Niskanen, Mr. Juha",male,39.0,0,0,,7.925,S
402,0,3,"Adams, Mr. John",male,26.0,0,0,341826.0,8.05,S
404,0,3,"Hakkarainen, Mr. Pekka Pietari",male,28.0,1,0,,15.85,S
405,0,3,"Oreskovic, Miss. Marija",female,20.0,0,0,315096.0,8.6625,S
407,0,3,"Widegren, Mr. Carl/Charles Peter",male,51.0,0,0,347064.0,7.75,S
408,1,2,"Richards, Master. William Rowe",male,3.0,1,1,29106.0,18.75,S
409,0,3,"Birkeland, Mr. Hans Martin Monsen",male,21.0,0,0,312992.0,7.775,S
413,1,1,"Minahan, Miss. Daisy E",female,33.0,1,0,19928.0,90.0,Q
415,1,3,"Sundman, Mr. Johan Julian",male,44.0,0,0,,7.925,S
417,1,2,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34.0,1,1,28220.0,32.5,S
419,0,2,"Matthews, Mr. William John",male,30.0,0,0,28228.0,13.0,S
420,0,3,"Van Impe, Miss. Catharina",female,10.0,0,2,345773.0,24.15,S
422,0,3,"Charters, Mr. David",male,21.0,0,0,,7.7333,Q
424,0,3,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28.0,1,1,347080.0,14.4,S
425,0,3,"Rosblom, Mr. Viktor Richard",male,18.0,1,1,370129.0,20.2125,S
428,1,2,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,19.0,0,0,250655.0,26.0,S
431,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,0,0,110564.0,26.55,S
433,1,2,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42.0,1,0,,26.0,S
434,0,3,"Kallio, Mr. Nikolai Erland",male,17.0,0,0,,7.125,S
437,0,3,"Ford, Miss. Doolina Margaret ""Daisy""",female,21.0,2,2,,34.375,S
439,0,1,"Fortune, Mr. Mark",male,64.0,1,4,19950.0,263.0,S
440,0,2,"Kvillner, Mr. Johan Henrik Johannesson",male,31.0,0,0,,10.5,S
441,1,2,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45.0,1,1,,26.25,S
442,0,3,"Hampe, Mr. Leon",male,20.0,0,0,345769.0,9.5,S
444,1,2,"Reynaldo, Ms. Encarnacion",female,28.0,0,0,230434.0,13.0,S
446,1,1,"Dodge, Master. Washington",male,4.0,0,2,33638.0,81.8583,S
447,1,2,"Mellinger, Miss. Madeleine Violet",female,13.0,0,1,250644.0,19.5,S
448,1,1,"Seward, Mr. Frederic Kimber",male,34.0,0,0,113794.0,26.55,S
449,1,3,"Baclini, Miss. Marie Catherine",female,5.0,2,1,2666.0,19.2583,C
450,1,1,"Peuchen, Major. Arthur Godfrey",male,52.0,0,0,113786.0,30.5,S
451,0,2,"West, Mr. Edwy Arthur",male,36.0,1,2,,27.75,S
453,0,1,"Foreman, Mr. Benjamin Laventall",male,30.0,0,0,113051.0,27.75,C
454,1,1,"Goldenberg, Mr. Samuel L",male,49.0,1,0,17453.0,89.1042,C
456,1,3,"Jalsevac, Mr. Ivan",male,29.0,0,0,349240.0,7.8958,C
457,0,1,"Millet, Mr. Francis Davis",male,65.0,0,0,13509.0,26.55,S
459,1,2,"Toomey, Miss. Ellen",female,50.0,0,0,,10.5,S
462,0,3,"Morley, Mr. William",male,34.0,0,0,364506.0,8.05,S
463,0,1,"Gee, Mr. Arthur H",male,47.0,0,0,111320.0,38.5,S
464,0,2,"Milling, Mr. Jacob Christian",male,48.0,0,0,234360.0,13.0,S
468,0,1,"Smart, Mr. John Montgomery",male,56.0,0,0,113792.0,26.55,S
470,1,3,"Baclini, Miss. Helene Barbara",female,0.75,2,1,2666.0,19.2583,C
472,0,3,"Cacic, Mr. Luka",male,38.0,0,0,315089.0,8.6625,S
473,1,2,"West, Mrs. Edwy Arthur (Ada Mary Worth)",female,33.0,1,2,,27.75,S
474,1,2,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,23.0,0,0,,13.7917,C
475,0,3,"Strandberg, Miss. Ida Sofia",female,22.0,0,0,7553.0,9.8375,S
477,0,2,"Renouf, Mr. Peter Henry",male,34.0,1,0,31027.0,21.0,S
478,0,3,"Braund, Mr. Lewis Richard",male,29.0,1,0,3460.0,7.0458,S
480,1,3,"Hirvonen, Miss. Hildur E",female,2.0,0,1,3101298.0,12.2875,S
481,0,3,"Goodwin, Master. Harold Victor",male,9.0,5,2,,46.9,S
484,1,3,"Turkula, Mrs. (Hedwig)",female,63.0,0,0,4134.0,9.5875,S
485,1,1,"Bishop, Mr. Dickinson H",male,25.0,1,0,11967.0,91.0792,C
487,1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35.0,1,0,19943.0,90.0,S
488,0,1,"Kent, Mr. Edward Austin",male,58.0,0,0,11771.0,29.7,C
490,1,3,"Coutts, Master. Eden Leslie ""Neville""",male,9.0,1,1,,15.9,S
492,0,3,"Windelov, Mr. Einar",male,21.0,0,0,,7.25,S
495,0,3,"Stanley, Mr. Edward Roland",male,21.0,0,0,,8.05,S
497,1,1,"Eustis, Miss. Elizabeth Mussey",female,54.0,1,0,36947.0,78.2667,C
499,0,1,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25.0,1,2,113781.0,151.55,S
501,0,3,"Calic, Mr. Petar",male,17.0,0,0,315086.0,8.6625,S
502,0,3,"Canavan, Miss. Mary",female,21.0,0,0,364846.0,7.75,Q
505,1,1,"Maioni, Miss. Roberta",female,16.0,0,0,110152.0,86.5,S
506,0,1,"Penasco y Castellana, Mr. Victor de Satode",male,18.0,1,0,,108.9,C
507,1,2,"Quick, Mrs. Frederick Charles (Jane Richards)",female,33.0,0,2,26360.0,26.0,S
509,0,3,"Olsen, Mr. Henry Margido",male,28.0,0,0,,22.525,S
513,1,1,"McGough, Mr. James Robert",male,36.0,0,0,,26.2875,S
514,1,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",female,54.0,1,0,,59.4,C
515,0,3,"Coleff, Mr. Satio",male,24.0,0,0,349209.0,7.4958,S
516,0,1,"Walker, Mr. William Anderson",male,47.0,0,0,36967.0,34.0208,S
517,1,2,"Lemore, Mrs. (Amelia Milley)",female,34.0,0,0,,10.5,S
519,1,2,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",female,36.0,1,0,226875.0,26.0,S
520,0,3,"Pavlovic, Mr. Stefo",male,32.0,0,0,349242.0,7.8958,S
522,0,3,"Vovk, Mr. Janko",male,22.0,0,0,349252.0,7.8958,S
524,1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44.0,0,1,111361.0,57.9792,C
526,0,3,"Farrell, Mr. James",male,40.5,0,0,367232.0,7.75,Q
527,1,2,"Ridsdale, Miss. Lucy",female,50.0,0,0,,10.5,S
530,0,2,"Hocking, Mr. Richard George",male,23.0,2,1,29104.0,11.5,S
531,1,2,"Quick, Miss. Phyllis May",female,2.0,1,1,26360.0,26.0,S
533,0,3,"Elias, Mr. Joseph Jr",male,17.0,1,1,2690.0,7.2292,C
535,0,3,"Cacic, Miss. Marija",female,30.0,0,0,315084.0,8.6625,S
536,1,2,"Hart, Miss. Eva Miriam",female,7.0,0,2,,26.25,S
